,avg_salary,company,job title,location,company_type,company_sector,age,max_salary,title
212,50.0,Damart,Data analyst junior - H/F,Roubaix,Unknown,Manufacturing,-1,55,junior
213,50.0,Inetum,Data Analyst H/F,Lille,Company - Private,Information Technology,53,55,junior
214,50.0,MJV Technology & Innovation,Data Analyst,Lille,Company - Private,Information Technology,26,55,junior
215,50.0,Onera,CHERCHEUR EN SCIENCE DES DONNEES POUR L’AERODYNAMIQUE H/F,Bordeaux,Company - Public,Aerospace & Defense,77,55,junior
216,50.0,Matmut,Data scientist F/H,Rouen,Company - Private,Insurance,62,55,junior
217,50.0,Inetum,Data Analyst SAS / Hadoop H/F,Brest,Company - Private,Information Technology,53,55,junior
218,50.0,GROUPE LIMAGRAIN,Data Analyst (H/F),Saint-Beauzire,Company - Private,Agriculture,58,55,junior
219,50.0,Le Groupe La Poste,Data Analyst chargé d'études stratégiques,Paris,Company - Private,Financial Services,32,55,junior
220,50.0,LIMAGRAIN EUROPE SAS,Analyste de données en sélection Maïs (H/F),Ennezat,Company - Private,Agriculture,58,55,junior
221,50.0,CS GROUP,Chef de projet / Coordinateur Data Science - F/H,Toulouse,Company - Private,Information Technology,55,55,junior
222,50.0,Cognira,Junior Data Scientist,Lille,Company - Private,Information Technology,8,55,junior
223,50.0,Numberly,Data Scientist,Paris,Company - Public,Media & Communication,23,55,junior
224,50.0,Damart,Data analyst senior - H/F,Roubaix,Unknown,Manufacturing,-1,55,junior
225,50.0,FED Finance,DATA ANALYST,France,Company - Private,Human Resources & Staffing,13,55,junior
226,50.0,Inetum,Data Analyst Industrie 4.0 H/F,Toulouse,Company - Private,Information Technology,53,55,junior
227,50.0,ALEIA,Data scientist,Paris,-1,-1,-1,55,junior
228,50.0,AUSY,Data Analyst,Wasquehal,Company - Private,Management & Consulting,34,55,junior
229,50.0,Insitoo,Data Analyst Junior (H/F),Lille,Company - Private,Human Resources & Staffing,16,55,junior
230,50.0,Le Groupe La Poste,Data Analyste,Saint-Denis,Company - Private,Financial Services,32,55,junior
231,50.0,Le Groupe La Poste,Data Analyst Export,Paris,Company - Private,Financial Services,32,55,junior
232,50.0,INFORMATIS,Analyste DATA,Nogent-sur-Seine,Company - Private,-1,52,55,junior
233,50.0,TOYOTA MATERIAL HANDLING FRANCE,Data Analyst CRM,Bussy-Saint-Georges,Company - Private,"Construction, Repair & Maintenance Services",56,55,junior
234,50.0,innovation e-Santé Sud ieSS,Data Scientist H/F,Hyères,-1,-1,-1,55,junior
235,50.0,Numberly,Data Analyst Programmatique,Paris,Company - Public,Media & Communication,23,55,junior
236,50.0,FED Finance,DATA ANALYST (études stratégiques) H/F,Paris,Company - Private,Human Resources & Staffing,13,55,junior
237,50.0,Sightengine,"Computer Vision ML, Data scientist",Télétravail,Company - Private,-1,-1,55,junior
238,50.0,Licorne Society,Data Analyst - startups,Paris,Company - Private,-1,-1,55,junior
